ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-12-01,1706986.1848917801,1514549.4939408742,2159392.1527296836,1706986.1848917801,1706986.1848917801,132527.04017953898,132527.04017953898,132527.04017953898,73699.93070888,73699.93070888,73699.93070888,-49.4502666840263,-49.4502666840263,-49.4502666840263,58876.55973734299,58876.55973734299,58876.55973734299,0.0,0.0,0.0,1839513.2250713191
2023-12-02,1707209.4203045007,1554951.3513149507,2185100.804091708,1707209.4203045007,1707209.4203045007,154356.26857282076,154356.26857282076,154356.26857282076,73699.93070888,73699.93070888,73699.93070888,-281.5995924338057,-281.5995924338057,-281.5995924338057,80937.93745637457,80937.93745637457,80937.93745637457,0.0,0.0,0.0,1861565.6888773215
2023-12-03,1707432.6557172216,1522188.4912958222,2208367.458064147,1707432.6557172216,1707432.6557172216,175166.4114366895,175166.4114366895,175166.4114366895,73699.93070888,73699.93070888,73699.93070888,-424.4691078122121,-424.4691078122121,-424.4691078122121,101890.94983562171,101890.94983562171,101890.94983562171,0.0,0.0,0.0,1882599.067153911
2023-12-04,1707655.8911299426,1617167.3944767835,2204075.012365373,1707655.8911299426,1707655.8911299426,196049.4561825039,196049.4561825039,196049.4561825039,73699.93070888,73699.93070888,73699.93070888,893.045123793872,893.045123793872,893.045123793872,121456.48034983003,121456.48034983003,121456.48034983003,0.0,0.0,0.0,1903705.3473124465
2023-12-05,1707879.1265426632,1615731.8195773028,2230273.615683559,1707879.1265426632,1707879.1265426632,212869.62481460682,212869.62481460682,212869.62481460682,73699.93070888,73699.93070888,73699.93070888,-224.2281659956306,-224.2281659956306,-224.2281659956306,139393.92227172243,139393.92227172243,139393.92227172243,0.0,0.0,0.0,1920748.75135727
2023-12-06,1708102.361955384,1613252.5811483467,2254535.143758094,1708100.5219766744,1708102.361955384,228297.3227110321,228297.3227110321,228297.3227110321,73699.93070888,73699.93070888,73699.93070888,-907.033141952533,-907.033141952533,-907.033141952533,155504.4251441046,155504.4251441046,155504.4251441046,0.0,0.0,0.0,1936399.6846664161
2023-12-07,1708325.597368105,1642130.766221877,2270156.344399628,1708320.8470474347,1708326.2793148146,244326.59009150785,244326.59009150785,244326.59009150785,73699.93070888,73699.93070888,73699.93070888,993.735151083809,993.735151083809,993.735151083809,169632.92423154405,169632.92423154405,169632.92423154405,0.0,0.0,0.0,1952652.187459613
2023-12-08,1708548.8327808257,1632179.0710022652,2270728.8882254437,1708538.759293042,1708552.487823667,255319.42258551644,255319.42258551644,255319.42258551644,73699.93070888,73699.93070888,73699.93070888,-49.450266684987334,-49.450266684987334,-49.450266684987334,181668.9421433214,181668.9421433214,181668.9421433214,0.0,0.0,0.0,1963868.2553663421
2023-12-09,1708772.0681935467,1658866.334290224,2294064.932924086,1708756.4036432672,1708781.437091872,264964.5175136551,264964.5175136551,264964.5175136551,73699.93070888,73699.93070888,73699.93070888,-281.59959243321265,-281.59959243321265,-281.59959243321265,191546.1863972083,191546.1863972083,191546.1863972083,0.0,0.0,0.0,1973736.5857072019
2023-12-10,1708995.3036062673,1660627.8742461132,2287684.9774590847,1708974.1406775918,1709009.4713730896,272516.4615491264,272516.4615491264,272516.4615491264,73699.93070888,73699.93070888,73699.93070888,-424.4691078106337,-424.4691078106337,-424.4691078106337,199240.99994805708,199240.99994805708,199240.99994805708,0.0,0.0,0.0,1981511.7651553936
2023-12-11,1709218.5390189881,1679698.6781189246,2306988.242160515,1709189.0212606546,1709240.3634745744,279362.72854100505,279362.72854100505,279362.72854100505,73699.93070888,73699.93070888,73699.93070888,893.0451237962978,893.0451237962978,893.0451237962978,204769.75270832874,204769.75270832874,204769.75270832874,0.0,0.0,0.0,1988581.267559993
2023-12-12,1709441.7744317092,1664057.4742476933,2308754.3613740937,1709404.888098011,1709472.0186512286,281660.9925430525,281660.9925430525,281660.9925430525,73699.93070888,73699.93070888,73699.93070888,-224.22816599402475,-224.22816599402475,-224.22816599402475,208185.2900001665,208185.2900001665,208185.2900001665,0.0,0.0,0.0,1991102.7669747616
2023-12-13,1709665.0098444298,1666034.420029888,2298800.400078285,1709618.0880380662,1709705.0685931367,282365.47550791973,282365.47550791973,282365.47550791973,73699.93070888,73699.93070888,73699.93070888,-907.0331419526193,-907.0331419526193,-907.0331419526193,209572.57794099234,209572.57794099234,209572.57794099234,0.0,0.0,0.0,1992030.4853523495
2023-12-14,1709888.2452571508,1654964.973649062,2314706.106014498,1709833.8350249182,1709937.501081486,283737.37120942486,283737.37120942486,283737.37120942486,73699.93070888,73699.93070888,73699.93070888,993.735151083138,993.735151083138,993.735151083138,209043.7053494617,209043.7053494617,209043.7053494617,0.0,0.0,0.0,1993625.6164665758
2023-12-15,1710111.4806698717,1686098.3209303503,2305212.5460250126,1710049.6517489932,1710170.965743861,280382.8968066754,280382.8968066754,280382.8968066754,73699.93070888,73699.93070888,73699.93070888,-49.45026668561869,-49.45026668561869,-49.45026668561869,206732.41636448103,206732.41636448103,206732.41636448103,0.0,0.0,0.0,1990494.3774765471
2023-12-16,1710334.7160825923,1668712.4263185288,2296005.924005505,1710259.1514719594,1710405.0216668586,276206.68835908687,276206.68835908687,276206.68835908687,73699.93070888,73699.93070888,73699.93070888,-281.599592433829,-281.599592433829,-281.599592433829,202788.3572426407,202788.3572426407,202788.3572426407,0.0,0.0,0.0,1986541.4044416791
2023-12-17,1710557.9514953133,1682623.0050300134,2279269.116780698,1710470.1365585048,1710645.518675987,270646.6861498601,270646.6861498601,270646.6861498601,73699.93070888,73699.93070888,73699.93070888,-424.46910781460315,-424.46910781460315,-424.46910781460315,197371.2245487947,197371.2245487947,197371.2245487947,0.0,0.0,0.0,1981204.6376451734
2023-12-18,1710781.186908034,1645928.2582453534,2291754.8201174615,1710678.1261230202,1710884.0591955183,265237.97596817906,265237.97596817906,265237.97596817906,73699.93070888,73699.93070888,73699.93070888,893.0451237921008,893.0451237921008,893.0451237921008,190645.0001355069,190645.0001355069,190645.0001355069,0.0,0.0,0.0,1976019.162876213
2023-12-19,1711004.422320755,1662655.9725987443,2291344.8023953685,1710887.0280397944,1711118.86903967,256248.1535969585,256248.1535969585,256248.1535969585,73699.93070888,73699.93070888,73699.93070888,-224.22816599072823,-224.22816599072823,-224.22816599072823,182772.45105406918,182772.45105406918,182772.45105406918,0.0,0.0,0.0,1967252.5759177133
2023-12-20,1711227.6577334758,1642302.4587058094,2276976.529737254,1711093.1607177241,1711357.9675724914,246702.95769224584,246702.95769224584,246702.95769224584,73699.93070888,73699.93070888,73699.93070888,-907.0331419497858,-907.0331419497858,-907.0331419497858,173910.0601253156,173910.0601253156,173910.0601253156,0.0,0.0,0.0,1957930.6154257217
2023-12-21,1711450.8931461964,1626582.6035599725,2303993.3244979796,1711303.9404649925,1711592.082453644,238897.2016097159,238897.2016097159,238897.2016097159,73699.93070888,73699.93070888,73699.93070888,993.7351510842706,993.7351510842706,993.7351510842706,164203.53574975158,164203.53574975158,164203.53574975158,0.0,0.0,0.0,1950348.0947559122
2023-12-22,1711674.1285589174,1620990.4735623836,2267167.6653003567,1711509.6873791013,1711833.8872042038,227434.50865435312,227434.50865435312,227434.50865435312,73699.93070888,73699.93070888,73699.93070888,-49.45026668624999,-49.45026668624999,-49.45026668624999,153784.02821215938,153784.02821215938,153784.02821215938,0.0,0.0,0.0,1939108.6372132706
2023-12-23,1711897.3639716383,1617898.1899823816,2212345.893065735,1711710.7814372776,1712073.354657881,216183.48602636295,216183.48602636295,216183.48602636295,73699.93070888,73699.93070888,73699.93070888,-281.59959243323596,-281.59959243323596,-281.59959243323596,142765.1549099162,142765.1549099162,142765.1549099162,0.0,0.0,0.0,1928080.8499980012
2023-12-24,1712120.599384359,1592330.2210774792,2238151.7660236773,1711916.9179410986,1712306.672951839,204516.37097309064,204516.37097309064,204516.37097309064,73699.93070888,73699.93070888,73699.93070888,-424.4691078130247,-424.4691078130247,-424.4691078130247,131240.90937202369,131240.90937202369,131240.90937202369,0.0,0.0,0.0,1916636.9703574497
2023-12-25,1712343.83479708,1594052.842976781,2226404.3117815773,1712120.6974668102,1712542.520927015,193877.4753156245,193877.4753156245,193877.4753156245,73699.93070888,73699.93070888,73699.93070888,893.0451237945265,893.0451237945265,893.0451237945265,119284.49948294999,119284.49948294999,119284.49948294999,0.0,0.0,0.0,1906221.3101127045
2023-12-26,1712567.0702098005,1566057.0278096413,2236410.452646368,1712324.4255740743,1712783.587278578,180423.83240939397,180423.83240939397,180423.83240939397,73699.93070888,73699.93070888,73699.93070888,-224.22816599434796,-224.22816599434796,-224.22816599434796,106948.1298665083,106948.1298665083,106948.1298665083,0.0,0.0,0.0,1892990.9026191945
2023-12-27,1712790.3056225216,1549253.0979910402,2182856.870597821,1712525.003555621,1713023.2880861692,167056.61040102408,167056.61040102408,167056.61040102408,73699.93070888,73699.93070888,73699.93070888,-907.033141949872,-907.033141949872,-907.033141949872,94263.71283409394,94263.71283409394,94263.71283409394,0.0,0.0,0.0,1879846.9160235457
2023-12-28,1713013.5410352424,1548803.7879413527,2217118.6778468434,1712727.4110384271,1713261.3643348634,155938.1284221088,155938.1284221088,155938.1284221088,73699.93070888,73699.93070888,73699.93070888,993.735151081427,993.735151081427,993.735151081427,81244.46256214738,81244.46256214738,81244.46256214738,0.0,0.0,0.0,1868951.669457351
2023-12-29,1713236.776447963,1552797.0903435363,2175951.215251117,1712920.4720212033,1713496.9375243506,141537.77955340382,141537.77955340382,141537.77955340382,73699.93070888,73699.93070888,73699.93070888,-49.45026668754068,-49.45026668754068,-49.45026668754068,67887.29911121132,67887.29911121132,67887.29911121132,0.0,0.0,0.0,1854774.5560013668
2023-12-30,1713460.011860684,1542404.151703238,2147123.9134348403,1713124.7011974852,1713733.8922981222,127594.294471309,127594.294471309,127594.294471309,73699.93070888,73699.93070888,73699.93070888,-281.59959243506137,-281.59959243506137,-281.59959243506137,54175.963354864034,54175.963354864034,54175.963354864034,0.0,0.0,0.0,1841054.306331993
